Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
10/23,SUNY Canton,Oswego N.Y.,H,W,5,4,N
10/25,Colgate (Exhibition),,A,L,2,5,N
10/28,Centennial,Oswego N.Y.,H,W,9,3,N
11/4,Potsdam,Oswego N.Y.,H,W,9,2,Y
11/5,Guelph,Oswego N.Y.,H,L,3,5,N
11/9,St. Lawrence,,A,L,3,5,N
11/11,Canisius,Oswego N.Y.,H,W,8,1,N
11/18,Army,,A,L,3,7,N
11/19,Elmira,Oswego N.Y.,H,W,3,1,N
12/3,Hobart,,A,W,9,2,N
12/6,Cortland,Oswego N.Y.,H,W,8,2,Y
12/9,Plattsburgh,Oswego N.Y.,H,W,6,5,N
1/7,North Country CC,Oswego N.Y.,H,W,8,2,N
1/10,Union,,A,W,5,1,N
1/13,Potsdam,,A,L,3,7,Y
1/14,Plattsburgh,,A,L,4,7,N
1/18,Brockport,,A,W,5,4,Y
1/21,Geneseo,,A,W,9,6,Y
1/25,University of Buffalo,Oswego N.Y.,H,W,8,5,N
1/27,RIT,Oswego N.Y.,H,W,5,4,N
1/28,Hobart,Oswego N.Y.,H,W,9,3,N
2/1,Cortland,,A,W,10,2,Y
2/4,Geneseo,Oswego N.Y.,H,W,7,3,Y
2/7,Elmira,,A,L,0,3,N
2/10,Canisius,,A,W,13,2,N
2/11,University of Buffalo,,A,W,8,6,N
2/14,Brockport,Oswego N.Y.,H,W,9,4,Y
2/17,RIT,,A,L,1,6,N
2/24,Hamilton,,A,L,3,6,N
2/25,Potsdam,Oswego N.Y.,H,W,9,2,Y
2/29,Union,Oswego N.Y.,H,L,3,5,N
N/A,RIT,,A,L,2,13,N
N/A,RIT,,A,L,2,10,N
