Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
10/24,Clarkson,,A,L,1,9,N
10/27,Colgate (Exhibition),,A,W,3,2,N
10/30,Michigan-Dearborn,,A,W,3,2,N
10/31,Michigan-Dearborn,,A,W,3,2,N
11/13,Merrimack,,A,L,4,6,N
11/14,Elmira,,A,W,9,5,N
11/18,Potsdam,Oswego N.Y.,H,W,8,0,Y
11/20,Army,,A,W,6,3,N
12/4,Holy Cross,Oswego N.Y.,H,W,8,7,N
12/5,Michigan-Dearborn,Oswego N.Y.,H,L,2,5,N
12/8,Cortland,Oswego N.Y.,H,W,8,3,Y
12/11,Hamilton,,A,L,7,8,N
12/13,Plattsburgh,Oswego N.Y.,H,W,8,4,N
1/5,Colgate,,A,L,6,9,N
1/9,Union,,A,W,5,2,N
1/12,Elmira,Oswego N.Y.,H,W,6,3,N
1/16,Plattsburgh,,A,L,2,9,N
1/17,Potsdam,,A,L,5,8,Y
1/20,Brockport,,A,W,5,4,Y
1/22,Geneseo,Oswego N.Y.,H,W,9,4,Y
1/23,Elmira,,A,L,1,3,N
1/27,University of Buffalo,Oswego N.Y.,H,W,6,5,N
1/30,RIT,Oswego N.Y.,H,W,6,4,N
2/3,Cortland,,A,W,10,2,Y
2/6,Geneseo,,A,W,5,4,Y
2/10,Hamilton,Oswego N.Y.,H,W,7,4,N
2/13,University of Buffalo,,A,W,7,4,N
2/16,Brockport,Oswego N.Y.,H,W,14,6,Y
2/19,RIT,,A,W,7,3,N
2/27,Potsdam,Oswego N.Y.,H,L,5,6,Y
3/13,UMass-Lowell,,A,L,5,9,N
3/14,UMass-Lowell,,A,W,4,3,N
