Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
10/29,SUNY Canton (Exhibition),Oswego N.Y.,H,W,8,5,N
11/2,Mercyhurst,Oswego N.Y.,H,W,7,2,N
11/11,Binghamton,,A,W,15,1,N
11/12,Elmira,,A,L,4,5,N
11/18,Fredonia,Oswego N.Y.,H,W,8,3,Y
11/19,Potsdam,Oswego N.Y.,H,W,10,4,Y
11/29,Cortland,,A,W,5,2,Y
12/2,Plattsburgh,Oswego N.Y.,H,W,6,3,N
12/9,Geneseo,Oswego N.Y.,H,W,5,2,Y
12/10,RIT,Oswego N.Y.,H,L,4,7,N
1/6,Potsdam,,A,L,4,5,Y
1/7,Plattsburgh,,A,L,2,9,N
1/11,Brockport,Oswego N.Y.,H,W,8,5,Y
1/14,Fredonia,,A,W,11,1,Y
1/18,Hobart,Oswego N.Y.,H,W,4,3,N
1/21,Hamilton,Oswego N.Y.,H,L,2,3,N
1/25,Cortland,Oswego N.Y.,H,W,8,2,Y
1/27,St. Bonaventure,Oswego N.Y.,H,W,16,1,N
1/28,Geneseo,,A,W,6,4,Y
2/1,Hamilton,,A,L,5,7,N
2/3,Elmira,Oswego N.Y.,H,L,4,7,N
2/4,Binghamton,Oswego N.Y.,H,W,17,0,N
2/10,RIT,,A,W,5,3,N
2/11,Brockport,,A,T,6,6,Y
2/14,Union,Oswego N.Y.,H,L,1,7,N
2/17,Cortland,,A,W,6,5,Y
2/18,Geneseo,Oswego N.Y.,H,W,5,4,Y
N/A,Elmira,Oswego N.Y.,H,L,3,8,N
3/10,RIT,,A,W,7,5,N
3/10,RIT,,A,L,1,4,N
3/11,!RIT,,A,L,2,5,N
,! - Mini Game,,A,,,,N
