Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/1,Merrimack,,A,L,1,8,N
11/2,UCONN,,A,L,4,6,N
11/13,Potsdam,,A,W,3,2,Y
11/16,Elmira,,A,W,3,2,N
11/20,Canisius,,A,L,4,5,N
11/23,Alabama-Huntsville,,A,L,3,8,N
11/24,Alabama-Huntsville,,A,L,5,8,N
12/3,Cortland,,A,W,3,1,Y
12/6,Plattsburgh,Oswego N.Y.,H,W,6,3,N
12/7,Union,,A,L,2,6,N
12/13,RIT,,A,W,7,6,N
12/14,Hobart,,A,W,10,3,N
12/20,Williams,,A,W,4,1,N
12/21,Hamilton,,A,W,7,3,N
1/10,Potsdam,Oswego N.Y.,H,L,5,6,Y
1/11,Plattsburgh,,A,L,3,7,N
1/14,Geneseo,Oswego N.Y.,H,L,4,6,Y
1/15,Brockport,,A,W,7,4,Y
1/22,University of Buffalo,Oswego N.Y.,H,W,11,1,N
1/25,Hobart,Oswego N.Y.,H,W,11,0,N
1/29,Cortland,Oswego N.Y.,H,W,11,2,Y
2/1,Geneseo,,A,W,4,2,Y
2/4,Elmira,Oswego N.Y.,H,L,4,5,N
2/5,Hamilton,Oswego N.Y.,H,W,7,3,N
2/7,Canisius,Oswego N.Y.,H,W,4,3,N
2/8,University of Buffalo,,A,T,1,1,N
2/11,Brockport,Oswego N.Y.,H,W,10,0,Y
2/14,RIT,Oswego N.Y.,H,W,6,5,N
2/21,Potsdam,,A,W,9,5,Y
2/22,Geneseo,,A,L,2,3,Y
2/25,Hamilton,,A,W,7,3,N
3/1,Union,,A,L,3,4,N
