Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/7,Plattsburgh,,A,L,5,6,N
11/8,Babson,Oswego N.Y.,H,L,2,3,N
11/12,Potsdam,Oswego N.Y.,H,W,6,3,Y
11/15,Elmira,,A,W,8,7,N
11/18,Potsdam,,A,L,2,4,Y
11/21,North Adams State,Oswego N.Y.,H,W,6,4,N
11/22,Elmira,,A,W,3,2,N
11/28,Canisius,Oswego N.Y.,H,W,11,3,N
11/29,North Adams State,,A,W,3,2,N
12/2,Cortland,Oswego N.Y.,H,W,6,3,Y
12/5,Plattsburgh,Oswego N.Y.,H,L,5,6,N
12/6,Union,Oswego N.Y.,H,W,7,6,N
12/13,RIT,Oswego N.Y.,H,W,4,3,N
1/3,Elmira,Oswego N.Y.,H,W,6,3,N
1/10,Hobart,,A,W,8,2,N
1/13,Geneseo,Oswego N.Y.,H,W,8,4,Y
1/14,Brockport,,A,W,10,2,Y
1/18,Plattsburgh,,A,L,3,8,N
1/21,University of Buffalo,Oswego N.Y.,H,W,10,6,N
1/24,Hobart,Oswego N.Y.,H,W,5,3,N
1/28,Cortland,,A,W,8,3,Y
1/31,Geneseo,,A,L,6,7,Y
2/4,Hamilton,,A,L,0,3,N
2/7,University of Buffalo,,A,W,5,1,N
2/10,Brockport,Oswego N.Y.,H,W,7,4,Y
2/13,RIT,,A,L,6,7,N
2/20,Geneseo,Oswego N.Y.,H,W,8,3,Y
2/21,Plattsburgh,,A,L,2,4,N
2/24,Hamilton,Oswego N.Y.,H,W,7,3,N
2/28,Elmira,Oswego N.Y.,H,W,4,3,N
3/4,Hamilton,,A,W,5,4,N
3/7,Plattsburgh,,A,L,2,5,N
3/13,Babson,,A,W,3,2,N
3/14,Babson,,A,L,1,2,N
3/14,!Babson,,A,W,1,0,N
3/20,St. Cloud State,,A,W,5,2,N
3/21,Plattsburgh,,A,L,3,8,N
,! - Mini Game,,A,,,,N
