Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
10/27,Clarkson,,A,L,3,8,N
10/30,Hobart,,A,W,6,2,N
11/2,RIT,,A,W,6,3,N
11/7,Royal Military College,,A,W,9,5,N
11/10,Centennial,Oswego N.Y.,H,W,9,3,N
11/16,Illinois-Chicago,Oswego N.Y.,H,W,8,4,N
11/17,Merrimack,Oswego N.Y.,H,L,3,7,N
11/20,Potsdam,Oswego N.Y.,H,W,6,1,Y
12/1,Geneseo,Oswego N.Y.,H,W,5,4,Y
12/4,Hamilton,,A,W,9,5,N
12/7,Brockport,,A,W,4,2,Y
12/12,Cortland,,A,W,4,2,Y
12/15,Plattsburgh,Oswego N.Y.,H,W,9,5,N
12/21,Holy Cross,Oswego N.Y.,H,L,3,8,N
12/22,Hamilton,Oswego N.Y.,H,L,7,8,N
1/4,Williams,,A,L,6,9,N
1/5,Union,Oswego N.Y.,H,W,10,5,N
1/12,Union,,A,L,3,4,N
1/16,Elmira,Oswego N.Y.,H,L,5,7,N
1/19,Royal Military College,Oswego N.Y.,H,W,6,3,N
1/25,Upsala,Oswego N.Y.,H,W,20,2,N
1/26,Upsala,Oswego N.Y.,H,W,6,1,N
1/30,University of Buffalo,Oswego N.Y.,H,W,5,4,N
2/2,Geneseo,,A,W,6,5,Y
2/6,Cortland,Oswego N.Y.,H,W,12,6,Y
2/9,University of Buffalo,,A,W,6,1,N
2/13,Hamilton,Oswego N.Y.,H,W,3,2,N
2/15,Army,,A,W,10,4,N
2/16,Elmira,,A,L,4,6,N
2/20,Brockport,Oswego N.Y.,H,W,12,3,Y
2/22,Plattsburgh,,A,W,7,4,N
2/23,Potsdam,,A,W,9,2,Y
3/1,Army,Oswego N.Y.,H,W,12,6,N
3/5,Middlebury,Oswego N.Y.,H,W,4,2,N
3/8,Plattsburgh,,A,W,8,3,N
