Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/6,UCONN,Oswego N.Y.,H,W,13,5,N
11/7,Babson,Oswego N.Y.,H,L,5,7,N
11/11,Potsdam,Oswego N.Y.,H,W,7,6,Y
11/14,Elmira,Oswego N.Y.,H,L,2,4,N
11/20,Fredonia,Oswego N.Y.,H,W,13,3,Y
12/1,Cortland,,A,W,5,2,Y
12/4,Plattsburgh,Oswego N.Y.,H,L,4,5,N
12/9,Hobart,,A,W,7,3,N
12/11,Geneseo,Oswego N.Y.,H,W,11,4,Y
12/12,RIT,,A,W,4,3,N
1/8,Potsdam,,A,W,9,1,Y
1/13,Brockport,Oswego N.Y.,H,W,9,4,Y
1/16,Fredonia,,A,W,19,4,Y
1/20,St. Bonaventure,Oswego N.Y.,H,W,12,0,N
1/23,Hobart,Oswego N.Y.,H,W,7,3,N
1/27,Cortland,Oswego N.Y.,H,W,10,1,Y
1/30,Geneseo,,A,W,14,9,Y
2/2,Elmira,,A,W,4,1,N
2/3,Hamilton,Oswego N.Y.,H,W,4,1,N
2/5,Plattsburgh,,A,L,6,7,N
2/9,Brockport,,A,W,4,3,Y
2/12,RIT,Oswego N.Y.,H,L,4,5,N
2/16,Union,,A,L,7,8,N
2/19,Brockport,Oswego N.Y.,H,W,8,3,Y
2/20,Plattsburgh,,A,L,2,6,N
2/27,Hamilton,Oswego N.Y.,H,W,3,2,N
3/2,Plattsburgh,,A,W,7,5,N
3/5,Elmira,,A,L,5,8,N
3/11,Elmira,,A,L,3,6,N
3/12,Elmira,,A,L,2,10,N
