Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
10/30,Clarkson,,A,L,3,7,N
11/3,Colgate (Exhibition),,A,L,4,5,N
11/5,Penn State,Oswego N.Y.,H,W,14,4,N
11/6,Potsdam,Oswego N.Y.,H,W,6,4,Y
11/13,Canisius,,A,W,10,1,N
11/17,Potsdam,Oswego N.Y.,H,W,10,3,Y
11/19,Army,Oswego N.Y.,H,T,3,3,N
12/1,Hobart,,A,W,10,6,N
12/4,RIT,Oswego N.Y.,H,L,2,4,N
12/7,Cortland,,A,W,10,4,Y
12/10,Plattsburgh,Oswego N.Y.,H,L,6,7,N
12/13,Union,Oswego N.Y.,H,W,6,4,N
1/8,Merrimack,,A,W,6,5,N
1/9,New Haven,,A,W,5,3,N
1/12,Elmira,,A,W,6,5,N
1/14,Potsdam,,A,W,6,5,Y
1/15,Plattsburgh,,A,L,3,4,N
1/19,Brockport,Oswego N.Y.,H,W,9,6,Y
1/21,Geneseo,,A,W,4,3,Y
1/22,Canisius,Oswego N.Y.,H,W,7,2,N
1/26,University of Buffalo,,A,W,10,1,N
2/2,Cortland,Oswego N.Y.,H,L,5,6,Y
2/3,Elmira,Oswego N.Y.,H,W,6,2,N
2/5,Geneseo,Oswego N.Y.,H,W,8,4,Y
2/9,Hamilton,Oswego N.Y.,H,W,6,5,N
2/12,University of Buffalo,Oswego N.Y.,H,W,8,1,N
2/15,Brockport,,A,W,17,2,Y
2/18,RIT,,A,L,3,12,N
2/19,Hobart,Oswego N.Y.,H,W,15,3,N
2/26,Elmira,Oswego N.Y.,H,W,9,3,N
3/2,Middlebury,Oswego N.Y.,H,W,8,2,N
3/5,Plattsburgh,Oswego N.Y.,H,W,9,6,N
3/11,UMass-Lowell,,A,L,2,10,N
3/12,UMass-Lowell,,A,L,3,5,N
