Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
N/A,Harrah (Exhibition),Oswego N.Y.,H,W,5,4,N
N/A,SUNY Canton (Exhibition),,A,W,9,5,N
10/25,SUNY Canton (Exhibition),Oswego N.Y.,H,W,9,0,N
10/27,McGill,Oswego N.Y.,H,W,7,3,N
11/3,Clarkson,,A,L,2,9,N
11/6,Canisius,,A,W,8,5,N
11/9,American International,Oswego N.Y.,H,W,5,2,N
11/10,Salem State,Oswego N.Y.,H,W,7,0,N
11/14,Potsdam,Oswego N.Y.,H,W,6,5,Y
11/17,Elmira,,A,L,5,6,N
12/1,Hobart,,A,W,18,2,N
12/4,Cortland,,A,W,8,0,Y
12/7,Plattsburgh,Oswego N.Y.,H,L,4,6,N
12/11,Union,Oswego N.Y.,H,W,5,4,N
12/14,RIT,Oswego N.Y.,H,L,2,3,N
1/5,American International,,A,W,4,2,N
1/6,Merrimack,,A,L,1,9,N
1/11,Potsdam,,A,W,6,5,Y
1/12,Plattsburgh,,A,L,1,9,N
1/15,Geneseo,,A,L,2,7,Y
1/16,Brockport,Oswego N.Y.,H,W,9,2,Y
1/23,University of Buffalo,,A,W,8,2,N
1/29,Hobart,Oswego N.Y.,H,W,15,2,N
1/30,Cortland,Oswego N.Y.,H,W,20,1,Y
2/2,Geneseo,Oswego N.Y.,H,W,9,5,Y
2/5,Elmira,Oswego N.Y.,H,W,3,2,N
2/6,Hamilton,,A,W,4,3,N
2/8,Canisius,Oswego N.Y.,H,W,9,1,N
2/9,University of Buffalo,Oswego N.Y.,H,W,8,2,N
2/12,Brockport,,A,W,10,2,Y
2/15,RIT,,A,L,1,6,N
2/22,Geneseo,,A,W,3,1,Y
2/23,Plattsburgh,,A,L,3,5,N
2/26,Hamilton,Oswego N.Y.,H,W,6,5,N
3/2,Geneseo,Oswego N.Y.,H,W,5,4,Y
3/6,RIT,,A,L,1,10,N
