Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/17,Mohawk Tech,,A,L,3,4,N
12/2,Ithaca,Oswego N.Y.,H,W,9,2,N
12/8,Boston State,Oswego N.Y.,H,T,5,5,N
12/16,Boston State,,A,L,2,4,N
12/17,Salem State,,A,L,5,7,N
1/5,Macdonald,Oswego N.Y.,H,L,4,6,N
1/8,Hamilton,Oswego N.Y.,H,L,6,8,N
1/13,Royal Military College,Oswego N.Y.,H,W,8,4,N
1/26,York,,A,L,2,4,N
1/27,Guelph,,A,L,7,8,N
2/3,Macdonald,,A,L,5,7,N
2/9,Ithaca,,A,W,11,0,N
2/10,Brockport,Oswego N.Y.,H,W,16,0,Y
2/13,R.I.T.,Oswego N.Y.,H,W,7,4,N
2/17,U of Buffalo,Oswego N.Y.,H,L,2,3,N
2/20,Royal Military College,,A,L,2,4,N
2/24,Salem State,Oswego N.Y.,H,W,5,4,N
2/28,R.I.T.,,A,W,7,3,N
3/2,Ithaca,Oswego N.Y.,H,W,19,2,N
n/a,Brockport,Oswego N.Y.,H,W,13,0,Y
n/a,U of Buffalo,Oswego N.Y.,H,W,5,4,N
