Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
12/6,Boston State,Oswego N.Y.,H,W,8,6,N
12/7,Boston State,Oswego N.Y.,H,W,6,5,N
12/11,Colgate,,A,L,2,12,N
12/14,U of Buffalo,,A,W,4,1,N
12/21,Boston State,,A,L,4,7,N
12/22,Salem State,,A,W,6,4,N
1/11,Royal Military College,Oswego N.Y.,H,W,4,3,N
1/15,R.I.T.,,A,W,7,4,N
1/17,Ithaca,Oswego N.Y.,H,W,6,1,N
1/18,York,Oswego N.Y.,H,L,1,6,N
1/31,Macdonald,,A,L,2,5,N
2/1,Sir George Williams,,A,L,4,7,N
2/7,Ithaca,Oswego N.Y.,H,L,4,7,N
2/8,Salem State,Oswego N.Y.,H,L,3,9,N
2/11,R.I.T.,Oswego N.Y.,H,W,11,5,N
2/15,Queen's University,Oswego N.Y.,H,W,7,4,N
2/19,Brockport,Oswego N.Y.,H,W,9,3,Y
2/22,Hamilton,,A,L,6,9,N
2/26,Colgate,Oswego N.Y.,H,L,4,13,N
3/1,American International,,A,L,6,9,N
3/4,Royal Military College,,A,L,4,5,N
