Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/21,Royal Military College,,,W,4,3,N
12/3,U of Buffalo,,,W,11,1,N
12/9,Ithaca,,,W,7,1,N
12/16,Salem College,,,W,7,6,N
n/a,Boston College,,,L,1,5,N
n/a,Royal Military College,,,L,2,7,N
1/13,Clarkson,,,L,1,9,N
1/28,Ithaca,,,W,15,2,N
n/a,Macdonald,,,W,6,2,N
n/a,Brockport,,,W,24,0,Y
2/10,Boston State,,,W,6,2,N
2/11,Salem State,,,T,3,3,N
2/15,Rochester Tech,,,W,24,4,N
2/18,St. Lawrence,,,L,1,8,N
n/a,Rochester Tech,,,W,24,4,N
2/24,Ithaca,,,W,7,3,N
3/1,Brockport,,,W,20,3,Y
3/4,U of Buffalo,,,W,8,1,N
3/10,Ithaca,,,W,13,3,N
n/a,SUNY Canton,,,W,11,1,N
