Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/15,Royal Military College,,A,W,10,4,N
11/18,SUNY Canton (EXH),Oswego N.Y.,H,L,5,6,N
11/29,Brockport,Oswego N.Y.,H,W,9,2,Y
12/2,New England,Oswego N.Y.,H,W,5,4,N
12/6,Hamilton,Oswego N.Y.,H,W,6,3,N
12/10,Ithaca,,A,W,3,2,N
12/13,Colgate,,A,L,3,7,N
12/27,Colby,,A,T,7,7,N
12/28,Hamilton,,A,W,6,4,N
n/a,Royal Military College,,A,W,3,1,N
1/12,Macdonald,,A,W,4,3,N
1/13,Loyola (EXH),,A,L,3,4,N
1/20,U of Buffalo,Oswego N.Y.,H,W,9,6,N
1/24,R.I.T.,Oswego N.Y.,H,W,7,6,N
1/27,Merrimack,,A,L,7,8,N
1/28,UMASS-Lowell,,A,W,7,3,N
2/6,Hamilton,,A,W,5,0,N
n/a,Trent,,A,W,12,5,N
2/11,American International,Oswego N.Y.,H,L,3,6,N
2/13,Ithaca,Oswego N.Y.,H,W,6,2,N
2/16,New England,,A,W,3,0,N
2/17,American International,,A,T,3,3,N
2/21,Colgate,Oswego N.Y.,H,L,3,11,N
2/24,U of Buffalo,,A,W,7,4,N
2/25,U of Buffalo,,A,W,7,3,N
2/29,Army,,A,L,2,9,N
3/1,Ithaca,Oswego N.Y.,H,W,7,5,N
