Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/30,Guelph,Oswego N.Y.,H,W,5,2,N
12/5,Royal Military College,,A,L,1,4,N
12/6,Sir George Williams,Oswego N.Y.,H,L,4,5,N
12/11,Ithaca ,,A,W,11,4,N
12/21,Salem State,,A,L,4,5,N
12/22,Boston College,,A,L,5,11,N
1/2,Williams,,A,W,9,5,N
1/3,Middlebury,,A,L,1,2,N
1/7   ,R.I.T.,Oswego N.Y.,H,W,10,2,N
1/10,Macdonald,Oswego N.Y.,H,W,10,5,N
1/14,Hamilton,Oswego N.Y.,H,W,7,5,N
1/17,Colgate,,A,L,1,8,N
1/30,York,,A,L,0,7,N
1/31,Ryerson Tech,,A,L,3,7,N
2/3,Queen's University,Oswego N.Y.,H,L,0,5,N
2/7,Salem State,Oswego N.Y.,H,W,5,2,N
2/11,Ithaca,Oswego N.Y.,H,W,7,4,N
2/14,Boston State,Oswego N.Y.,H,W,8,5,N
2/18,R.I.T.,,A,W,10,3,N
2/21,American International,Oswego N.Y.,H,W,9,6,N
2/24,Colgate,Oswego N.Y.,H,L,2,9,N
2/28,Hamilton,,A,W,6,5,N
3/4,R.P.I.,,A,L,1,5,N
