Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/13,Plattsburgh,Oswego N.Y.,H,W,6,2,N
11/14,Cortland,Oswego N.Y.,H,W,6,2,Y
11/17,University of Buffalo,Oswego N.Y.,H,W,4,3,N
11/21,Royal Military College,Oswego N.Y.,H,W,8,2,N
11/30,Cortland,,A,W,7,4,Y
12/4,University of Buffalo,,A,L,4,6,N
12/6,Plattsburgh,,A,W,8,6,N
12/7,Hamilton,Oswego N.Y.,H,L,2,6,N
12/11,Brockport,,A,W,5,4,Y
12/14,Union,,A,L,1,12,N
12/29,North Adams State,,A,W,6,3,N
12/30,Williams,,A,W,5,3,N
1/19,Elmira,,A,L,2,8,N
1/22,Army,,A,L,2,4,N
1/25,Potsdam,,A,W,8,3,Y
1/31,Elmira,,A,L,2,5,N
2/8,Brockport,Oswego N.Y.,H,W,7,3,Y
2/12,University of Buffalo,,A,L,3,4,N
2/13,University of Buffalo,,A,L,2,8,N
2/16,Hamilton,,A,L,2,6,N
2/19,Plattsburgh,,A,W,5,2,N
2/23,Royal Military College,,A,L,1,8,N
2/25,Bowdoin,,A,L,2,6,N
2/26,Colby,,A,W,3,2,N
3/1,Union,,A,L,5,9,N
