Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/11,Bridgewater State,Oswego N.Y.,H,W,8,3,N
11/12,New Haven,Oswego N.Y.,H,W,7,4,N
11/16,University of Buffalo,,A,L,6,7,N
11/19,Royal Military College,Oswego N.Y.,H,W,12,7,N
12/4,Geneseo,Oswego N.Y.,H,W,10,3,Y
12/6,Hamilton,Oswego N.Y.,H,W,7,3,N
12/10,Brockport,,A,W,10,2,Y
12/14,Cortland,,A,W,8,3,Y
12/29,Hamilton,,A,W,6,4,N
12/30,Williams,,A,W,3,2,N
1/6,Holy Cross,,A,L,3,5,N
1/7,University of Buffalo,,A,W,7,5,N
1/7,Royal Military College,Oswego N.Y.,H,W,5,4,N
1/19,Elmira,,A,L,1,4,N
1/22,Potsdam,Oswego N.Y.,H,W,9,2,Y
1/25,Cortland,,A,W,11,2,Y
1/28,Army,,A,L,2,5,N
1/31,Geneseo,,A,W,4,3,Y
2/4,Brockport,Oswego N.Y.,H,W,10,0,Y
2/9,Elmira,Oswego N.Y.,H,W,5,4,N
2/11,University of Buffalo,Oswego N.Y.,H,W,8,3,N
2/14,Hamilton,,A,W,5,2,N
2/18,Plattsburgh,Oswego N.Y.,H,L,2,5,N
2/20,Army,,A,L,4,8,N
2/25,Plattsburgh,,A,L,5,7,N
2/26,Potsdam,,A,L,2,3,Y
3/4,Norwich,Oswego N.Y.,H,L,3,5,N
