Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/16,Royal Military College,Oswego N.Y.,H,W,8,1,N
11/20,Royal Military College,,A,W,7,4,N
11/25,Elmira,Oswego N.Y.,H,W,8,1,N
12/2,U of Buffalo,Oswego N.Y.,H,W,8,2,N
12/4,Hamilton,Oswego N.Y.,H,L,5,6,N
12/11,Ithaca,,A,W,12,5,N
12/14,Colgate,,A,L,3,5,N
12/21,Army,,A,W,5,4,N
12/22,Hamilton,,A,L,4,5,N
1/16,R.I.T.,Oswego N.Y.,H,W,7,3,N
1/18,Hamilton,,A,L,4,9,N
1/22,Ithaca,Oswego N.Y.,H,L,7,8,N
1/29,R.I.T.,Oswego N.Y.,H,W,7,3,N
2/1,Brockport,Oswego N.Y.,H,W,2,1,Y
2/4,Ithaca,Oswego N.Y.,H,W,5,4,N
2/7,Army,Oswego N.Y.,H,L,3,5,N
2/9,American International,Oswego N.Y.,H,W,6,4,N
2/15,Merrimack,,A,L,4,5,N
2/16,Framington,,A,W,8,7,N
2/18,Colgate,Oswego N.Y.,H,L,4,6,N
2/21,U of Buffalo,,A,W,6,5,N
2/22,U of Buffalo ,,A,W,6,5,N
2/25,Elmira,,A,T,3,3,N
3/1,Brockport,,A,W,4,3,Y
