Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/16,Royal Military College,,A,W,8,2,N
11/19,Royal Military College,,A,W,5,1,N
11/22,University of Buffalo,,A,T,4,4,N
11/24,Elmira,Oswego N.Y.,H,W,9,5,N
12/3,RIT,,A,W,5,2,N
12/6,Hamilton,,A,W,7,2,N
12/7,New England,,A,W,7,1,N
12/9,Ithaca,Oswego N.Y.,H,W,5,4,N
12/13,Brockport,,A,L,3,5,Y
1/16,Hamilton,,A,L,5,8,N
1/17,RIT,Oswego N.Y.,H,W,7,3,N
1/20,Ithaca,,A,W,9,4,N
1/24,New England,Oswego N.Y.,H,W,8,1,N
1/27,Hamilton,Oswego N.Y.,H,W,7,2,N
1/31,Army,,A,W,5,1,N
2/4,Ithaca,,A,W,5,3,N
2/7,Brockport,Oswego N.Y.,H,W,11,3,Y
2/10,Elmira,,A,W,7,5,N
2/13,University of Buffalo,Oswego N.Y.,H,L,6,7,N
2/14,University of Buffalo,Oswego N.Y.,H,W,9,4,N
2/18,Colgate,Oswego N.Y.,H,W,10,4,N
2/21,American International,,A,L,6,10,N
2/22,New Haven,,A,L,5,7,N
2/27,Bowdoin,,A,L,6,7,N
2/28,Colby,,A,W,9,3,N
3/6,Salem,,A,L,1,3,N
