Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/2,Royal Military College,Oswego N.Y.,H,L,3,4,N
11/3,Laurentian,Oswego N.Y.,H,L,4,5,N
11/14,Royal Military College,,A,W,7,5,N
11/20,U of Buffalo,,A,L,6,8,N
12/1,Ithaca,Oswego N.Y.,H,W,8,4,N
n/a,Hamilton,,A,W,5,4,N
12/8,Ithaca,,A,W,7,5,N
12/12,Colgate,Oswego N.Y.,H,L,2,6,N
n/a,Waterloo,Oswego N.Y.,H,L,0,9,N
n/a,Royal Military College,Oswego N.Y.,H,W,4,3,N
n/a,Hamilton,Oswego N.Y.,H,L,2,4,N
n/a,St. Lawrence,,A,L,0,9,N
1/19,New England,Oswego N.Y.,H,W,5,1,N
1/23,Brockport,Oswego N.Y.,H,W,9,1,Y
1/27,R.I.T.,Oswego N.Y.,H,W,9,2,N
1/31,Hamilton,Oswego N.Y.,H,W,5,1,N
2/3,New Haven,Oswego N.Y.,H,W,6,2,N
2/9,Colgate,,A,L,4,9,N
n/a,Brockport,,A,W,8,5,Y
n/a,American International,,A,W,7,1,N
n/a,New England,Oswego N.Y.,H,L,5,6,N
n/a,St. Anselm,,A,L,3,11,N
2/22,U of Buffalo,Oswego N.Y.,H,L,2,11,N
2/23,U of Buffalo,Oswego N.Y.,H,W,5,2,N
n/a,Ithaca,,A,W,6,2,N
