Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/15,Canton,,A,W,5,4,N
11/21,Trent,,A,L,4,8,N
11/28,Royal Military College,,A,L,1,5,N
12/3,U of Buffalo,,A,L,4,5,N
12/7,Ithaca,Oswego N.Y.,H,W,5,3,N
12/10,Williams,,A,L,3,4,N
12/11,American International,,A,L,3,10,N
12/19,Boston State,,A,L,3,10,N
12/20,Salem State,,A,L,2,9,N
12/28,UMASS-Amherst,,A,L,0,2,N
12/29,Williams,,A,L,3,7,N
12/30,Colby,,A,L,3,5,N
1/6,Colgate,Oswego N.Y.,H,W,6,5,N
1/8,Macdonald,Oswego N.Y.,H,W,10,0,N
1/9,Macdonald,Oswego N.Y.,H,W,5,4,N
1/13,Hamilton,Oswego N.Y.,H,L,1,2,N
1/29,Trent,Oswego N.Y.,H,W,11,6,N
2/9,Brockport,Oswego N.Y.,H,W,11,4,Y
2/11,Colgate,Oswego N.Y.,H,L,1,8,N
2/13,U of Buffalo,Oswego N.Y.,H,W,8,7,N
2/23,Army,,A,L,3,7,N
2/28,Hamilton,,A,L,2,3,N
2/29,Ithaca,,A,T,4,4,N
