Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/29,Royal Military College,Oswego N.Y.,H,L,4,6,N
12/5,American International,,A,W,7,5,N
12/9,Ithaca,Oswego N.Y.,H,W,7,1,N
12/10,Colgate (EXH),Oswego N.Y.,H,L,3,7,N
n/a,Queen's University,Oswego N.Y.,H,L,1,3,N
12/21,Salem State,,A,L,3,6,N
12/22,Boston State,,A,L,3,4,N
12/28,Williams,,A,W,2,0,N
12/29,Middlebury,,A,W,4,3,N
12/30,Hamilton,,A,W,9,2,N
,GAME MISSING HERE,Oswego N.Y.,H,,,,N
1/12,Hamilton ,,A,L,3,4,N
1/16,U of Buffalo,Oswego N.Y.,H,W,6,5,N
,2 GAMES MISSING HERE,Oswego N.Y.,H,,,,N
1/30,York,Oswego N.Y.,H,W,5,3,N
2/4,Ithaca,,A,W,8,2,N
2/9,Colgate,,A,L,3,4,N
2/16,Queen's University,Oswego N.Y.,H,L,4,5,N
2/20,U of Buffalo,,A,L,2,5,N
2/26,Salem State,Oswego N.Y.,H,W,5,3,N
3/3,R.P.I.,Oswego N.Y.,H,L,4,5,N
