Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
11/3,St. Lawrence,,A,L,2,9,N
11/8,Royal Military College,,A,W,11,8,N
11/11,Centennial (Exhibition),Oswego N.Y.,H,L,1,5,N
11/15,Cortland,,A,W,12,5,Y
11/17,Bryant,Oswego N.Y.,H,W,11,2,N
11/18,St. Anselm,Oswego N.Y.,H,L,4,6,N
11/21,Potsdam,,A,L,2,3,Y
12/1,University of Buffalo,,A,W,6,5,N
12/2,Geneseo,,A,W,7,6,Y
12/5,Hamilton,,A,W,7,6,N
12/8,Brockport,Oswego N.Y.,H,W,4,3,Y
12/13,Cortland,Oswego N.Y.,H,W,4,2,Y
12/16,Plattsburgh,,A,L,1,7,N
12/29,New Haven,Oswego N.Y.,H,L,3,4,N
12/30,Hamilton,,A,L,1,10,N
1/13,Union,Oswego N.Y.,H,W,8,4,N
1/17,Elmira,,A,L,4,10,N
1/20,Army,,A,W,4,1,N
1/31,Geneseo,Oswego N.Y.,H,W,7,5,Y
2/3,Royal Military College,Oswego N.Y.,H,L,5,6,N
2/6,Elmira,Oswego N.Y.,H,L,6,7,N
2/10,University of Buffalo,Oswego N.Y.,H,W,7,3,N
2/14,Hamilton,Oswego N.Y.,H,L,3,5,N
2/17,Westfield State,,A,L,2,3,N
2/18,Merrimack,,A,L,0,7,N
2/21,Brockport,,A,L,2,3,Y
2/23,Plattsburgh,Oswego N.Y.,H,L,3,5,N
2/25,Potsdam,Oswego N.Y.,H,W,15,3,Y
3/4,Middlebury,,A,L,2,7,N
